Episode:0, eps_reward:1.0, max_hit_reward:1.0, agent.max_reward: 0, epsilon: 0.7865334084168147
Episode:165, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:166, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:167, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:168, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:169, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:170, eps_reward:3.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:171, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:172, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:173, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:174, eps_reward:3.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:175, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:176, eps_reward:3.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:177, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:178, eps_reward:3.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:179, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:180, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:181, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:182, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:183, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:184, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:185, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:186, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:187, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:188, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:189, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:190, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:191, eps_reward:4.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:192, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:193, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:194, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:195, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:196, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:197, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:198, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:199, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:200, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:201, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:202, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
